Word,Meaning
fịnịḅẹ́lẹ,flame
fịnịpághára,splinter
fịnịkirí,station
fịnịkirí,rank
fịnyẹ́,dead thing
fị́nyẹ́,food
fị́nyẹ́kọ́sị́má,digestion
fị́ónyēsẹ́,guarantee
fị́ónyēséḅọ́,guarantor
fịrị,work
fịrị,service
fịrị,duty
fịrịmáa,send
fịrịmáa,despatch
fịrịnwangịḅọ́,servant
fịrịnwangịḅọ́,labourer
fịrịnwangịḅọ́,worker
fịrịnwangịḅọ́,workman
fị́túrú,bread
fomú,flog
fom,flog
fomunyé,cane
fomunyé,whip
fofooma,shift away
fóngoló,make a circle
fóngoló,move round
fóngoló,circle
fóngoló,round
fọ́,struggle
fọḅaraḅúru,roasted
fọ́fọ̄ḅáa,week
fọ́ngọ́,cockle shells
fọ́ngụ́,rainy season
fọ́njụ́,smoking pipe
fọ́njụ́ḅúdírí,tobacco
fọ́nọ̄,pull
fọ́nọ̄,drag
fọnyá,scramble
fọọ́,roast
fọ́ọ̄,ashes
fọ́ọ̄,dust
fọrọ́kọ,singlet
fọ́rụ́,wind
fọ́rụ́,breeze
fọ́rụ́-ákpa,lungs
fọ́rụ́,cockroach
fúghú,wrestle
fúkúma,hooktrap
fúkúrú,hole
fúrā,be pregnant
fúrā,pregnancy
fúrō,belly
fúrōákpáa,stomach
fúrōápụ,relatives
fúróbīé-ị́la,intestines
fúrōtụwọ,freeborn
fúrú,steal
fúrúḅọ́,thief
fúrúma,mullet
fụ́,salt
fụ́ḅárá,forehead
fụ́ḅárá,luck
Fụ́ḅárá-álálị,Ibani festival
fụ́ghụ́,poised
fụ́lọ́,soup
fụ́ḿ,faint
fụ́rụ̄,smell
fụ́rụ̄,stink
fụ́sánị́,alligator
gáị́nmaá,advise
gáị́nmaá,advice
galagalá,scatter
gánágáná,shake
gángáas,barrel
gángásị,barrel
gángásị,recorded
gángáas,recorded
gbáā,relate
gbámásó,eternity
gbánā,put up
gbarị́,miss
gbásará,narrate
gbasị́,equality
gbaghụpalị,crucify
gbamgbam,pan
gbásị́,be equal
gbásị́maáa,equalize
gbẹ́rẹ́,one
gbẹ́rẹ́nyẹ́,one
gbẹ́ẹ̄,cover
gbẹ́ẹ̄,close
gbẹ́ẹ̄,shut
gbẹ́ẹ̄,grind
gbẹ́ẹ̄,pay
gbẹ́ẹ̄,repay
gbẹ́ẹ̄nyẹ́,wages
gbẹ́ẹ̄nyẹ́,reward
gbẹ́ẹ̄,fit
gbẹ́ẹ̄,suit
gbẹnyịnáma,amphibian
gbẹ́rẹ́sẹ́ápụ,race
gbí,sew
gbí,dress
gbí,throw
gbí,stone
gbí,pierce
gbílā,question
gbílā,ask
gbígírí,squirrel
gbírī,fence
gbírī,surround
gbisirí,come out of order
gbisirí,slip
gbógbō,hack
gbólō,sound
gbólō,touch
gbólō,beat
gbólōárọ́,first
gbóm,bell
gbóō,invoke
gborogboró,big
gborogboró,plenty
gborogboró,many
gbósō,canvass
gbọ́ọ̄,peck
gbọ́ọ̄,dish
gbọ́ọ̄,pick
gbọ́rụ́,whole
gbọ́rụ́nyẹ́,whole
gbúlú,mullet
gẹ́ẹ̄,write
gẹẹ́gẹẹ́,printed
gẹ́nyẹ̄,writing
gẹ́nị́gẹ́nị́nyẹ́,fancies
gẹrẹgẹ́rẹ́,fragment
gídi,nile monitor lizard
gígi,gig
gígiawọ,gig paddlers
gị́gị́,walk upright
gị́gị́,tight
gị́gị́,stiff
gị́gị́,rigid
gị́gị́ma,stare
gogo,namesake
góō,read
góōḅọ́,reader
góōdíri,book
góōdírí-ọ́rụ́,verse
góōdírísịbị,chapter
góōyọ́,chapter
gósị,purpose
gósị,because
gósị,reason
gósị,sake
gọgị́,sit
gọgị́,sit
gọ́gọ,duck
gọ́lị̄,abuse
gọlịbịpị́,abusive
gọnịkákị,yambeetle
gọ́ọ̄,repeat
gúgū,shake
gúgū,dust off
gulugulú,waste
gunú,grumble
gúrō,scrub
gụ́ā,mix
gụágụá,multicoloured
gụamagụ́áma,mixed
gụ́lá,chiefs council house 
gụ́lábíē,treasury
gụ́ọ̄,heal
gụ́ọ̄,cure
ibi,good
ibi,fine
ibi,pleasant
ibi,nice
ibiamíényẹ,good manners
ibiángā,amity
ibikarị́,blessing
ibikarịsúó,blessing
ibikarịsúó,good fortune
ibi kúkúbíé,good mind
ibisuó,good fortune
íbílá,mat
íbílí,grey
ibimá,well
ibiní,locust
ibinibini,carved
ibinyẹ,goodness
íḅó,turn upside down
idoni,Andoni
idoni,Obolo
idoniapụ́,Obolo people
idoniapụ́,Andoni people
igbé,box
igbéfínjínyẹ́,key
igbighi,money
igbighi,coin
igbighifị́,misappropriation
igbighifị́,embezzlement
igbighifị́,defalcation
igbighikokoḅọ́,treasurer
igbighikokowárị,bank
igbighilanyẹ́,valuable
igbighisịbị́,capital
igbiniápụ́,Igbos
ígidáa,star apple
igilakọ́m,honour
igilakọ́m,honourable
igilakọnḅọ́,honourable
ígó,waist
ígóbọ́lị́bọ́lị́,firefly
igodó,lock
igodó,padlock
igomá,waste
igomá,squander
igoni,hospitality
igoniḅọ́,stranger
igoniḅọ́,guest
ígónyíḅọ́,poor
ígónyíḅọ́,pauper
Igu,masquerade
igbighi,money
igúanga,money
ííín,yes
íjē,silkcotton
ijighila,headpad
ijina,sunray
ijina,sunbeam
ijuruma,ram
ijuruma,male sheep
ikelekelé,wander
ikelemá,go
ikelemá,circle
ikelemá,surround
ikelemá,be twisted
ikeré,bark
íkéré,overawe
íkí,lay across
íkíḅá,half
íkíḅá fị́nị,large log
íkírí,creep
íkírí,crawl
íkírí,survival
íkíríkó,wooden gong
íkítíkó,wooden gong
íkírímá,persevere
íkírímá,tolerate
íkírímá,endure
íkírímáḅọ́,endurer
íkirínga,harmattan
íkólí,chain
íkólíḅághụ́nyẹ,hammer
íkólíḅọ́,prisoner
íkólínáḅọ́,prisoner
íkólíápụ́, prisoners
íkólínápụ́, prisoners
íkólí sụ́á,imprison
íkólíwárị,jail
íkólíwárị,prison
ikolokoló,fish
íkólókolóo,pick
íkólókolóo,gather
íkónángadaná,joint
íkó,fold
ikoro,large gong
ikpikpí,owl
ikpuru,silence
ikpuru,muteness
ikpúru,jigger
íkú,jaw
íkú,rock
Íkúḅa,a deity
íkúláḅọ́,lame
íkúláḅọ́,disabled
íkúláḅọ́,cripple
íkulée,black kite
íkúlélū,iron
íkútúní,mandible
ile,sugar-plum tree
ílíghíma,mark
ílíghíma,sign
iloma,anchor
ílolóo,plum
ílúghū,shout
imi,manatee
ímíi,be present
ímíi,remain
ímímé,finger-nails
ímímé,toe-nails
imine,throne
ímō,sweat
íní,four
íníí,deafness
ínííḅọ́,deaf
inighimáa,patience
inighimáa,perseverance
mgbamgbámgba,fish
mgbamgbámgba,royal
íníne,eight
ínínéá si,one hundred and sixty
inini,assassination
ininikọḅọ́,assassin
ininiḅọ́,assassin
inomá,cheat
inomá,swindle
inomá,defraud
inomá,overcome
inomá,conquer
ínyé,yours
ínyé,your own
ipilepilé,wave
ípílépilé,cruciform whistle
irí,thread
írī,dry out
írī,smoke
írī,stray
írī,miss
írī,transgress
irimá,error
irimá,mistake
irisé,storm
író,tell
írókọ́,treason
írókọ́ḅọ́,gossiper
írókọ́ḅọ́,talebearer
írókọ́ḅọ́,traitor
írónyẹ́,lie
írónyẹ́,falsehood
írónyẹ́,fabrication
írónyẹ́,perjury
író-órúfị,perjury
iru,wine
iru,drinks
irusughú,bottom of drink bottle
irusughú,traditionally
ịsagha,bunch
ísé,mow 
ísé,shave
ísī,the other
ísīḅọ́,other person
ísīnyẹ́,the other things
ísīnyẹ́,the other one
ísíbírí,alligator
Isígu,name of deity
Isíguḅa,daughter
isíi,swell
isíi,waves
isíi,billows
ítī,rain
ítīmíngi,rainwater
itilá,laziness
ititá,dew
itu,crowd
itu,host
itumo,multitude
itúru,Pink-Backed Pelican
itúru,probably
íwō,go up
íwō,disembark
ị,me
ị,my
í,you
í,your
ịbaá,conspiracy
ịga,unwillingness
ịga,strong refusal
ịganángị,thorn of cane
ịganị,angry
ịganị,annoyed
ịganị,vexed
ịganị má,don't be annoyed
ịganị,anger
ịganị,annoyance
ịganị,vexation
ịganị,provocation
ịgba,amulet
ị́gbá,drumming style
ị́gbánị́,piles
ị́gbánị́,ask
ị́gbánị́,engage
ị́gbánị́,claim
ị́gbá sẹ́ngị́, slice
ị́gbọ̄,net
ịgbụrụḅụ́,gullet
ịgbụrụḅụ́,oesophagus
ịgị́lā,gong
ịgụa,sacrifice
ị́gụ̄á,concubinage
ị́gụ̄áḅọ́,concubine
ị́jā,jackfruit
ị́kákị́,tortoise
ị́kákị́,hunchback
ị́kákị́ óbíi,hunchback
ị́kákō,ashes
ị́kángị́,sompat grunt
ị́kara,crawcraw
ị́karị,anklebone
ị́karị,wristbone
ịkasị,seat
ịkasị,chair
ịkasị,stool
ị́kásị̄,lock
ị́kásị̄,button
ị́kásị̄,build
ị́kásị̄,make
ị́kásị̄,load gun
ị́kẹ́ngị́ị,lightning
ị́kị́á,prophecy
ịkị́ánị̄,scentleaf
ị́kọ́lị́,swimming
ịkọmaịkọ́má,crooked
ị́kọ́ọ́,bend
ị́kọrọngọ,human head
ị́kọrọ́ọ,cockles
ị́kọrọ́ọ,anadara
ị́kpá,spring trap
ị́kpákị́,pebbles
ị́kpákị́,stones
ị́kpákị́,rocks
ịkpangị,horn
ịkpangị,branch
ịkpangị,twig
ịkpápụ̄,penknife
ịkpẹrẹkị́,kneel
ị́kpụ́ụ́,knot
ị́lá,coral bead
ịlịlá,veranda
ịlọ,pelvis
ịlọ,summons
ịlọgbọḅọ́,plaintiff
ịlọgbọḅọ́,complainant
ị́lụ,crevice
ị́lụ,chink
ị́lụ,hole
ị́mụ́kụ́,thrift
ị́mụ́kụ́,miserliness
ị́mụ́nụ́mụ́nụ́,frond
ịnịá,my son
ịnịá,sons
ịnịghị́maá,patience
ịnọ̄,sore
ịnụ,scarcity
ịnụ,hard
ịnụ,dry yam
ịnyaa,plantain
ị́nyọ́,breath
ị́nyọ́,strength
ị́nyọ́,zeal
ị́nyọ́faá,fatigue
ị́nyọ́faá,weariness
ị́nyọ́faá,weakness
ị́nyọ́faá,tiredness
pighima,suffocating
ị́nyọ́sárá-ákpáa,lungs
ị́nyọ́sárághá,restless
ị́nyọ́sárángá,resting
ị́nyọ́sáráyọ́ọ,resting
ị́nyọ́sụ́á,powerful
ị́pọ́rị,body hair
ị́pụ́ọ́,feather
ị́pụ́ọ́,plume
ịrị,i
ịrị,me
ị́rị́,you
ị́rị̄,blade
ịrịa,womanhood ceremony
ịrịaḅọ́,ịrịa celebrant
ị́rọ́,toast
ịrụá,sun
ị́rụ́ọ́,roast
ị́sá,nerve
ị́sá,vein
ị́sá,fibre
ị́sárám,tassel
ịsẹlẹmá,fishermans knot
ị́sịlá,mudskipper
ịsọ,worm
ị́sụ́,mouse
ị́wọ́ma,newly
ị́yẹ́rẹwẹ,township market
ịyọọ,easy
ịyọọ,comfortable
ịyọọ́,be
ị́yọ́rọ́,female animal
ị́yọ́rọ́ma,peaceably
ị́yọ́rọ́ma,peacefully
jeé,fifteen
jẹ́,another
jepa,again
jẹ́ sáa,again
jẹ́ ńgáa,elsewhere
jẹ́ẹ́ápụ́,other people  
jénéwárị́má,adjournment
jighé,shake
jíghémaá,shake
jú,distant
jụwọ,somebody
jụwọjụwọ, one another
jenjegha,no issues
ká,tear
ká,expose
ká,rend
ká,burst
ká,demolish
káákáa,ruptured
káákáa,broken
kaakanyẹ́,torn
kaḅụ,parable
kaḅụ,proverb
káká,tie
káká,moor
kakanyẹ́,bundle
kakanyẹ́,parcel
kálā,small
kálá ōwútụ́wọ,boy 
káláámā,village
kálábíé,bedroom
Kálátilíḅọ̄,name
kamụ,quarrel
kam,palaver
kam,quarrel
kamụ,palaver
kambalá,lay on back
kaná,go
kaná,pass
kánákáná,darkness
kanyé,understand
kanyá,understand
kárá,sharpen
kárá,carve
kárá,prepare
káará,correct
káará,complete
kárámaá,complete
karakáráḅẹ́rẹ́kọ,justice
karakárányẹ́,truth
karakáráa,be ready
karakárámá,complete
karakárámá,make ready
karị́,pray
karị́,invoke
karị́,curse
karị́,swear
kari ibí,blessing
karị́ íbíma,bless
karị súó,blessing
karị súó,fortune
kẹbẹ́,affect
kẹbẹ́,infect
kẹbẹ́,infectious
kẹ́lẹ̄,please
kẹlẹ,little 
kẹlẹkèlẹ,gradually;
kẹlẹkèlẹ,slowly
kẹkẹ,heat
kẹngẹ́,spark
kẹ́ngẹ́,crab
kẹ́nị̄,crack
kẹ́nị̄,cut
kiemáa,avoid
kikí,prevent
kikinyẹ́,hindrance
kikíbīényẹ́,that
kíkímanyẹ́,screen
kíngí,knife
kírī,land
kírī,ground
kírī,soil
kírī,earth
kírī,office
kírī,position
kírī,opportunity
kírī-árụ́,car
kírí-ị̄sẹ́ḅị́tẹ,carpet
kírímangịnyẹ,bicycle
kírī-ódódo,earthworm
kírí-ōnwíárụ,train
kírí-ōnwíárụ,locomotive
kírí-ōnwíárụ,steam
kírí-ákị̄ḅọ́,successor
kírífina,slow growth
kírīfị́-ọ́kụ́rụ,pawpaw
kírífōfó,perhaps
kíríkiri,instantly
kịị́,tap palmwine
kịẹ́,count
kịẹ́,pluck
kịẹ́,pick
kịẹḅịpị́,numeral
kịẹnyẹ́,account
kịká,resemble
kịlárị,coral
kịlárịmgbé,conger
kịlẹ,brave deed
kị́nā,ferment
kị́nị́,person
kị́nị́ḅá,murder
kị́nị́ḅáḅọ́,murderer
kị́rị̄,slice
kị́rị̄,pare
kịrịkị́rị́nyẹ́,various
kịrịkị́rị́nyẹ́,different
kịsị́,sneeze
kókōḅáa,five days forward
kómbō,tease
kóró,alight
kóró,descend
kọ́lị,corner
kọ́lị́,drum wedge
kọlọ́,cough
kọngọ,neck
kọngọ-ọḅụ́dụ,nape
kọọ́,speak
kọọ́,judge
bẹ́rẹ́kọ́,litigation
kọọ́,remain
kọnyẹ́,remaining
kọnyẹ́,remainder
kọnịnyẹ́,bait
kọ́pụ́,full tide
kọrị́,seize
kọrị́,blaze
kọrịfịnị́,fire
kọrị́,lead
kọrịḅọ́,masquerade leader
kọ́rọ́náírú,tombo
kọ́rọ́náírú,palmwine
kọ́rọ́,horn
kọ́rọ́námá,bull
kọ́rọ̄,chip
kọ́rọ̄,scrape
koromá,consider
koromá,think
koromá,recollect
koromá,consideration
koromá,thought
koromá,opinion
koromá,conscience
kọsị́,pound
kọsị́,grind
kọsị́,smash
kọsị́gháa,coarse
kpáị́nma,make perfect
kpandụ,to reduce
kpángịrị́,fry
kpé,snood hook
kpéē,plait
kpẹsị,clench anus
kpóō,clench fist
kpóō,knead
kpóō,mould garri
kpoó,congeal
kpoó,thicken
kpọ́ghọrọ́,drag
kpọ́lị̄,climb
kpọ́lị̄,scale
Kráistḅẹrẹ,christianity
kubirí,gather
kubirí,be together
kubiriogbó,gathering
kúbirí,gather
kúbirikúbiri,turkey
kúu,cocoyam
kuku,back
kúkúbíé,chest
kúkúbíé-mgbọlụ,heart
kumbu,axe
kunju,waist
kunju,hips
kunomá,end
kunú,root
kuru,camwood
kúrū,keep
kúrū,wait
kúrū,tarry
kúrūḅọ́,watcher
kúrūḅọ́,waiter
kúrúkúrúḅọ́,black person
kúrúkúrúbị́tẹapụ́,policemen
kuú,catch
kuú,trap
kuú,ensnare
kụ́ā,amend
kụkọ,testicles
kụlọ,canoe bows
kụ́ma,but
kụ́mẹ́kụ́mẹ́,catwalk
kụ́mẹ́rẹ́,feline
kụnẹ́,stalk
kụ́nụ́,stink
kụrá,agree
kụ́rá,year
ọmẹ́nị,muscle
ọmẹ́nị,sinew
kụrọ wárị,fortress
kụrọ́,strength
láā,reach
láā,arrive
láā,cost
láā,valuable
láā,expensive
láāgháa,worthless
láāḅárá,value
láāḅárá,cost
láāḅárá,price
láābírí,length
láāḅárá,length
láābị́pị́,price
láābị́pị́,value
láābị́pị́,cost
láākírí,position
láānyẹ́,price
láānyẹ́,value
láānyẹ́,cost
alágā,needle
lákpō,bile
lákpō,gall
lámaá,touch
lámaá,taste
lámaá,wound
lélémaá,open
lélémaá,disclose
lẹ́ẹ̄,become
lẹghẹlẹghé,weak
kpọrọfị́nị,sit
lẹlẹgịnị́,recognise
lẹlẹ́m,uncovered
lẹẹ́,third generation
lẹẹ́,grandson
lẹ́ẹ̄,famished
lẹ́lẹ́,hard labour
lílií,recognize
lị́á,broom
lịka,mud
lị́pị́lị́pị́,confusion
loliá,star
lólō,yield
lólō,multiply
lólómaá,pet
lólómaá,adore
lólóma kúkúbie,mercy
lópó,abdomen
lọgị́rị,shellfish
lubiri,deep
lughú,jaw
lụ́ụ́,fable
lụ́ụ́,folktale
máā,these
má,the
mámgba,all
mánámānányẹ,many
mangị́,run
mángị́maá,respect
mángị́maá,honour
masịbị-ódódo,snake
masịbị-ódódo,calabar
másịsị,matches
mba,power
mba,strength
mbánā,plantain
mbelembélé,roam
ḿbólóḿboló,small child
mbẹ,faults
mḅẹmḅẹ,if
ḿbí,coconut
ḿbípúló,coconut oil
mbiré,brother
mbireowí,brother
mbịakpa,maize
mbịakpa,corn
mbịị́,paint
ḿbịláari,umbrella
mbịnyẹ́,blood
mbịrá,sister
ḿbọ́sọ,from
ḿbú,navel
ḿbúárọ́,woman
ḿbúḅọ,human
ḿbúrúḅụ́kọ,ape
ḿbụ́rụ́ḿbụ́rụ́,murmur
ḿbụ́rụ́ḿbụ́rụ́,speak
ḿbụ́rụ́ḿbụ́rụ́,bear
mḅapa,calabash
mẹnị,flesh
mẹnị́,swallow
mẹ́nẹ́,ant
mgba,jaw
mgba-ngá,cheeks
mgba,pipe
mgbasụá,act
ḿgbá,wrestle
ḿgbáfúú,wrestling
mgbaá,catarrh
ḿgbe,oyster
ḿgbé,bone
ḿgbé-óbí,rheumatism
ḿgbe akpakpa,oystershell
Mgbese si,crucifix
mgbepelé,roll
ḿgbe-pẹdíri,plant
mgbẹsẹ́,across
mgbẹsẹ́,obstacle
ḿgbí,cannon ball
ḿgbí,big buttocks
mgbọ túmini,prominent men
ḿgbọ́lụ́,fruit
mgbọnyẹ́ẹ,skewer
mgbọpụmá,neap tide
mgbusú,fruit
mgbụ́kụ̄,hard
mgbụụ,fruit
mié,make
mié,create
mié,urge
mié,do
miebíma,fulfilment
mieḅárá,act
mieḅárá,treatment
mie ḅárá ófōríi,unmanageable
mie ḅárá ófōríinyẹ́,unmanageable thing
mie dụ́ḅámaá,magnify
mie dụ́ḅámaá,enlarge
miegbólómaá,fellowship
miegbánámaá,expertise
miegbánámaḅọ́,expert
mie-írímaá,offence
mie-írímaá,trespass
mie-írímaá,fault
mie-írímaá,mistake
miesáḅámaá,excessive
miesímaá,offence
miesímaá,sin
míē,this
miemienyẹ́,custom
mienyẹ,deed
mienyẹ,character
mingi,water
mingi-fíni,flying fish
mingimgbọ́lụ,hailstone
mingimgbọ́lụ,icecube
mingisará,baptism
mingigọ́gọ,wild duck
miní,agree
miní,accept
miní,believe
miní,answer
mininí,faith
mininí,belief
minimíi,consent
minimíi,agreement
mị́mgba,today
mịna,relation
mịnaḅọ́,relative
mịnaḅọ́,sibling
mịnafa,middle
mị́nga,here
mị́sa,now
mmẹẹ́,two
mọnị́,regret
mọnị́,covet
mọnị́,envy
ḿpághárá,part
ḿpịtákā,cassava
mú,go
múnō,sleep
múnōnyẹ́,bed
múnōnyẹ́,bedding
múnō-ọ́gọ́nọ,bed
múnōwárị́bie,bedroom
múnōyọ́ọ,sleeping
múnōyọ́ọ,bedroom
múnyẹ́,voyage
mụmbụ,mortar
mụmbụ,rank
mụmbụ,group
mụmbụ,class
mụ́mọ́,sandy island
mụ́nọ,or
na,and
naá,hear
naaḅọ́,listener
námá,build
námá,animal
námá,meat
námá,beast
námá-ámáa,animal
námáḅáḅọ́,butcher
námáḅẹ́lẹ́kị,animal fat
námáḅẹ́lẹ́kị,butter
námá ósúka,animals
námá ósúka,fur
námá ósúka,wool
námásẹ́ẹ,animal
námá tẹ́,hunt
námátẹ́ḅọ́,hunter
nambúlō,cow
naáńgāáḅọ́,neighbours
nanápalịḅọ́,neighbours
nangá,tread
nangá,trample
nangá,step
nangị,thorn
nangụọ,friend
nda,shinynose fish 
ńdá,turn a corner
ńdálị,wire
ndam,yaws
ńdáma,bend
ndẹgẹ,mullet
ndẹ,gum
ndẹé,how many
ńdẹ́ẹ,four hundred
ndẹẹ́ lā,how much 
ńdó,suck
ńdó,breast
ńdóḅị́pị́,nipple
ńdómíngí,milk
ńdómíngí,breastmilk
ńdó sị́ghị́,wean
ńdómaá,breastfeeding
ńdóma-ọrụ́ḅọ,nursing mother
ndoó,clean the rectum
ndụḅá,daughter
Ndụḅáa,personal
ndụrụ́,sit with hand on cheeks
nẹ́nẹ̄ḅáa,six days forward
nẹngị́,exceed
ńgá,corner
ńgá,side
ńgá,part
ńgábíē,corner
ńgálá,mangrove
ńgálá-álágba,indian bamboo
ngara,extortion
ńgásá,side
ńgásá-ágbụgba,ribs
ńgásá-ḿgbe,ribs
ngịa,play marble
ńgị́álẹ́lẹ́,orphan
ngịangị́á,ritual palm
ngị́ásiri,cosmopolitan
ngịla,baby
ngịla,child
ngịrịmáa,patience
ngẹẹ́,one
ńgoló,gastropod shellfish
ńgóńgó,flower
ńgọ́,wealth
ńgọ́,riches
ńgọ́,goods
ńgọ́kúrúwárị̄,store
ńgọ́wárị,shop
ngọrị́,snore
ngọrọ́,trap
ńgú,clay
ńgú,waterpot
ńgúlé,maggot
ngurú,rat
ngụaába,pineapple
ngumá,throw
ngụngụ́,frog
ngụngụ́,toad
ńgụọ,sugarcane
nimí,wisdom
niminyẹ́,wisdom
nimiakpáa,sensible
nímí,know
nínī,nose
níníbíē,nostril
nínípáńga,the
nị́ghị́nị́ghị́maáa,wag
nịna,urine
nịna-akpá,bladder
ńjálẹ́lẹ́,orphan
nji,fish
njiḅaḅọ́,fisherman
njiḅanyẹ́,anything
njọlị,fruit
njọlị,tomato
njọlị́,millet
ńjū,prudence
njụ,internode
njụa,paddle
nkana,basket
nnị,they
nnị,them
nọngụ́,catfish
nọmụḅọ́,crazy
nọ́njị́,suck
ntuḅú,sandbank
numborowí,brother
numboroọ́rụ́ḅọ́,sister
númé,song
númó,hair
nune,plant
nune,pepperfruit
núnó,steering
núnófẹ̄ḅọ́,steersman
nụná,contest
nụná,struggle
nụ́ngọ́,open
nụ́ngọ́,outside
nụ́ngọ́bíē,outside
nụ́ngọ́ ítíla,long verandah
nụ́nụ́,pull
nụ́nụ́,tug
nụ́nụ́,draw
nụ́nụ́,set
nụ́nụ́,adjust
nụnụma,fufu
nụ́nụ́má,bangle
nụ́nụ́má-ódódo,millipede
nwá,animal
nwá,maxwells
nwaá,tie
nwaá,clean
Nwaọtáḿ,a masquerade
wángị́,walk
wángị́,move
wẹ́ngị́,work
nyaná,have
nyaná,possess
nyẹ́,thing
nyẹ́-árị́,sight
nyẹ́ḅị́pị́,price
nyẹ́ḅụ́ụsọ́ghányẹ́ẹ,useless thing
nyẹ́ḅụ́ụsọ́ghányẹ́ẹ,useless thing
nyẹ́díéḅọ́,teacher
nyẹ́fị́bíe,diningroom
nyẹ́gbẹ́dápịrị,grinding stone
nyẹ́lághá,not costly
nyẹ́lághá,not expensive
nyẹ́lányẹ́,valuable
nyẹ́mọ́nị́,covetousness
nyẹ́ná,hearing
nyẹ́nímí,sense
nyẹ́tọ́nyẹ́,balance
nyẹ́tọ́nyẹ́,scales
nyingi,mother
nyingiḅọ,mother
ńzā,sunbird
obé,pear
obé,avocado
obi,sickness
obi,illness
obi,disease
obiḅọ,sick
obiḅọ,patient
obigụọwárị,hospital
obií,sick
obií,ill
obiri,dog
obiri-duá,poisonous
obiri-duá,hairy spider
owu,war
óḅólí,clenched ist
óḅórí,goat
óḅóríḅọ́,fool
óḅóríḅọ́,stupid
óḅóríápụ́,fools
óḅórísófíní,sacred ibis
óḅóróásáḿḅọ,policeman
óḅúgháa,blunt
óḅúgháa,not sharp
oḅutu,mist
oḅutu,fog
odo,rock python
odo,yellow substance
odoḅála,gold
gúlu,gold
ododó,snake
odóíń,wickedness
odó-odo,yellow
ódú,ivory
ódú,trumpet
ódúmínéḅọ́,hornblower
ódúmínéyé,son of hornblower
ófīó,whirlpool
ófīófọ́rụ,whirlwind
ofíogori,mannerlessness
ofíogori,irresponsibility
ofo,angelfish
ófóríi,absent
ófóríi,not present
ofúnguru,rat
ofúnguru dịa,rattrap
ófúró,blow with mouth
ófúrúmaá,dust
ogbo,club
ogbosị́bị́daḅọ,club head
ogbó,summon
ogbogboḅọ́,plaintiff
ogbosẹ́ḅọ́,mediator
ógbógbó,restingplace
ogboín,mango
ogbokú,centre
ogbokú,middle
ogbónji,shark's nickname
ogbosị́bị́daḅọ,club head
ogbosụ́ányẹ́,island
ógbúdú,canoe platform
Ogbúlū,first son
Ogina,God
ógíóńgīó,whitlow
ógólóló,gutter
ógónó,rainbow
ógumáagala,chameleon
ogumabiri,market
ogunú,crown
ogunúu,peacock
oguru,perseverance
oguru,patience
ójó,gold
ójótẹ́mẹ́ḅọ́,goldsmith
ojóngo,jar
ojóngo,jug
ójū,body
ójū-ápára,skin
ójūdaghadaghá,itching
ójūgbọ́rụ́,anatomy
ójūkírí,body
ójū lá,feel
ójūmẹ́nị,flesh
ójū-ọ́gọ́nọ,epidermis
ójūsụ́ábị́tẹ,clothes
oki,sawfish
oki ówú,sawfish masquerade
oko,earthen pot
oko,clay pitcher
ókó,peel
ókóḅá,cowries
okokoríko,funny
okolo,creek
ókóló, eurasian curlew
okolooghó,middle
okoló,shouting
ókólá,Hadada Ibis 
ókpodápịrị,rock
okporo,sad drumming
okporo,sympathetic drumming
ókpórómgbó,skull
oku,mortar
ókū,message
ókumienyẹ́,mission
ókūmúḅọ́,messenger
ókúrú,raffia
ókúrú,working clothes
olo,mussel
olo,nature
ólóghó,law
ólóghófị́,fine
ólóghógbẹ́,fine
ólóghókị́ẹ́ḅọ́,lawyer
ólóghósímá,guilt
ólóghósímáḅọ́,criminal
ólóńdō,spider
ólóghóńdóbị́áḅọ,spider
olokpó,rubberlip grunt
olokpó,biglip grunt
ólóńdō wárị,spiders
ólóló,bottle
ólólóndō,bees
ólóḿḅára,old
ólóḿḅẹ́rẹ́,history
ólóḿ,old
ólóḿḅọ́,aged
Ólóma,God
Oginaḅa Tamụnọ,God
Ólómị̄ná-Ogina,God
ólóḿbíáḅọ,gecko
ólósí,illnatured
ómóní,slavery
ómóníárọ́,female
ómóníḅọ́,slave
ómóníọ́wí,male
ónī,vibrate
ónī,rotate
ónī,spin
oniá,agree
oniágha,disagree
ónú,fence
ónú,seawall
ónú,yard
ónú,garden
ónwí,bite
ónwí,bale
onwi,smoke
onwi-arụ̣́,steamship
ónwō,sand
ónyésẹ̄ḅọ́,witness
opo,fruit
Opuḅọ́ama, Opobo
opogholo,valley
ópómgbō,small
óporópo,pig
opu,great
opu,big
opuáda,grandfather
opuamíényẹ,pride
opubíē,parlour
opuḅọ,great person
opu-ígídí,mighty
opu-ijikila,warcanoe
opumá,very
opunyingi,grandmother
ópóró,shrimp
ópóró,crayfish
ópóró,lobster
ópúrónyíngí,lobster
opu-tẹ́nyị̄,majesty
oputọ́rụ̄,coveteousness
ori,he
oríi,it is he
oríi,it is him
órú,god
órú,deity
órú,divinity
órúfíní,kingfisher
órúfị́,oath
ọrụḅọọrụḅọ,each and everyone
órúkóróḅọ́,traditional worshipper
órúmíéḅọ́,worshipper
órúsẹ́nị́ḅọ,traditional high priest
órúogoló,Senegal coucal
osi,snail
ósí,fishing fence
osiá,respectfulness
osiá,respect
osiá,honour
osíirí,sugar
ósó,contribute
osuú,roof
osuborí,kingpost
