number,Ibani,English
616,"Saa gonye gonye bu, nnị kiri-aru dọghụḅọ dasema dasema si olo pa aso di(gh)e- tondo ma olo warighabo kuu","Every now and then, they would stop a taxi driver for committing a traffic offense."
617,"Saa gonye gonye bu, nnị kiri-aru dọghụḅọ dasema dasema si olo pa aso di(gh)e- tondo ma olo korobo kuu","Every now and then, they would stop a taxi driver for committing a traffic offense."
618,Topirifiri,Assignment
619,Igoinapụ Tamụnọ mini bịgha sị ḅụgịrị n'laa,"Poor people, God will not allow shame to reach them."
620,"Anị ibi ịpịrị go, igoinḅọ wiri ma","Because it's good for you, don't insult the poor."
621,"Warị gonye gonye ḅụ, wa simini-apụ nyanam","In every house, we have commoners."
622,"Warị gonye gonye ḅụ, wa simini-apụ nyanam","In every house, we have poor people."
623,"Ị mịnaḅọ, anị sọ ịpịrị pịrị, warị na ama na gbila","My relative, it enters for you, ask of family and community."
624,Mingi-biri,To bathe
625,Oju-birima,To dress up
626,Ḅụ-birima,To dress up
627,Ḅo mingi-biri,Come and bathe.
628,Mu mingi-biri,Go and bathe.
629,Ị mingi-biri ma?,Have you bathed?
630,"Ịịn, A mingi-biri mam","Yes, I have bathed."
631,"Ofori, na A mingi-birigha","No, I have not bathed."
632,Ị mingi-biri ḅẹ?,Will you bathe?
633,"Ịịn, A mingi-biri ḅẹm","Yes, I will bathe."
634,"Ofori o, A mingi-biri bịgha","No, I will not bathe."
635,Ị mingi-biri dọghụ?,Do you want to bathe?
636,"Ịịn, A mingi-biri dọghụm","Yes, I want to bathe."
637,"Ofori o, A Mingi-biri- dọụgha","No, I don't want to bathe."
638,Ḅaa-ene anị A mingi-biri dọghụnye,It's tomorrow I want to bathe.
639,A mingi-biri ḅẹm ḅaa dedebie,I will bathe tomorrow morning.
640,"A biri-nga imim, A mingi-biri dọghụm","I'm in the bathroom, I want to bathe."
641,"A biri-wari imim, A mingi-biri dọghụm","I'm in the bathroom, I want to bathe."
642,Ịye biri-mingi tenga imi?,Where is my bathing water?
643,A pa biringa koroma mam,I have dropped it in the bathroom.
644,A anị koroma mam biringa bie,I have dropped it in the bathroom.
645,Anị ọfịrịgha,It's not hot.
646,Tenye ọfịrịgha?,What is not hot?
647,Ịye biri mingi ọfịrịgha,My bathing water is not hot.
648,Abesa,God's time
649,Abinye,What I asked from God
650,Abarasi,I leave all to God
651,Abie,Nobody knows God's mind
652,Abalagha,I'm not worried
653,Adawari,Grandfather's house
654,Adango,The father's wealth
655,Adango,The father's riches
656,Adaere,Father's name
657,Adaobu,Born after the death of the father
658,Adagogo,Resemblance of the father
659,Abiekirim,God's mind is different
660,Abosimagha,My coming was wrong
661,Aberebiegha,I do not want trouble
662,Agobofagha,He who believes in God is safe
663,Aberekanagha,I do not discuss matters
664,Aberemangigha,I do not fear trouble
665,Aberemangigha,I do not run away from cases
666,Akima,Do not take
667,Akaderi,Laughter is not love
668,Atili,A great value
669,Atili,Precious
670,Atonye,God's plan
671,Atonye,God's wish
672,Atemie,What have I done
673,Akokoari,I'm gathering children
674,Atesipara-Omie,What wrong have I done to you?
675,Amiesimanyeofori,I have done nothing wrong
676,Aparabiegha,I will not reply
677,Aparabiegha,I will not revenge
678,Adonye,What I need
679,Adonye,My wish
680,Alali,Happiness
681,Alali,Joy
682,Alali,Celebration
683,Ajubonyanagha,I have no other one than God
684,Anju,My life
685,Anju,My blood
686,Anieresi,Because of that
687,Aniene,That day
688,Anienebere,Issues of that day
689,Amiesimagha,I did not do any wrong
690,Amienye-ofori,I have done nothing
691,Amabipi,The voice of the people
692,Amaso,The god of the land
693,Amaibi,The good of the land
694,Amabara,Right hand
695,Atoni,Wealth
696,Atoni,Riches
697,Amonigha,I do not covet
698,Asinyetogha,I planned no evil
699,Asitogha,No evil intentions
700,Inyingiala,Wealth
701,Ngowari,Wealthy house
702,Apawaribim,I am from a good home
703,Ibibama,My kindness will not kill me
704,Ibinye,Good thing
705,Ibisa,Good time
706,Ibitoru,Good sight
707,Ibibo,Nice fellow
708,Ibifagha,A good deed is never lost
709,Ibienebo,Born on a good day
710,Ibiere,A good name
711,Idaere,My father's name
712,Iyeala,My wealth (children)
713,Iderima,Do not laugh at me
714,Idawari,My father's house
715,Idasenibo,My father is a House Elder
716,Ibikisi,Good health
717,Ibiwari,Good household
718,Ibiaso,Good path
719,Ibiminapa,Wealth attracts many friends
720,Ibiwangi,Good journey
721,Ibifubara,Good luck
722,Ibiokotogha,I did not think so
723,Ibimina,Good relations
724,Ibima,It will be good
725,Ibitamuno,Good God
726,ibunimi,Know yourself
727,Ibierefagha,Good name lasts forever
728,Ibim,I'm Good
729,Ibiama,Good town
730,Ibifuro,"Good, fruitful womb"
731,Iye-opu(nye),My greatest possession
732,Inyanaboimieari,My Lord is still working on me
733,Barasua,Commit to God's hands
734,Baafuro,Tomorrow is pregnant
735,Boma,God's blessing
736,Basoene,Tomorrow is another day
737,Balafama,Be not afraid
738,Banimibo-ofori,No one knows tomorrow
739,Biedima,I'm comforted
740,Biedimanye,A thing of comfort
741,Biekpo,God has encouraged me
742,Bieobuma,Don't be angry
743,Bietonye,What I expected
744,Bietonyegha,What I didn't expect
745,Data,The father's love
746,Daba,Daughter born after her father's death
747,Daminabo,The father's friend
748,Daopunye,The father's hope
749,Datuwo,The father's child
750,Sodienye,Heavenly gift
751,Dawari,My father's house
752,Dagogo,His father's resemblance
753,Datonye,God's plan
754,Damie-simagha,My father has not done wrong
755,Damieibi,The good deeds of the father
756,Dabara,The father's hand
757,Dibiobuma,Do not take offense
758,Eremina,Women household
759,Erefagha,My name is not lost
760,Eredapa,Women household
761,Erewarifagha,A house with women will never end
762,Fila,Blessing
763,Fimienye,What death has done
764,Fiberesima,Death is the end of everything
765,Furopanye,My own blood
766,Furopanyekirim,Your child is your child
767,Ayagogo,Grandmother's resemblance
768,Adagogo,Grandfather's resemblance
770,Ḅo ịye oju-birima,Come and dress up.
771,Mu ịye oju-birima,Go and dress up.
772,Ị ịye oju-birima ma?,Have you dressed up?
773,"Ịịn, A ịye oju-birima mam","Yes, I have dressed up."
774,"Ofori o, na A ịye oju-birimagha","No, I have not dressed up."
775,Ị ịye oju-birima ḅẹ?,Will you dress up?
776,"Ịịn, A ịye oju-birima bem","Yes, I will dress up."
777,"Ofori o, A ịye oju-birima bịgha","No, I will not dress up."
778,Ị ịye oju-birima dọghụ?,Do you want to dress up?
779,"Ịịn, A ịye oju-birima dọghụm","Yes, I want to dress up."
780,"Ofori o, A ịye oju-birima dọụgha?","No, I don't want to dress up."
781,A ịye oju-birima ḅẹm miesosaa,I will dress up when I'm done (later).
782,A ịye oju-birima ḅẹm eneḅaa ḅụ,I will dress up in the afternoon.
783,"A ị'warịbie imim, A ịye oju-birima dọghụm sị wa mu","I'm in my room, I want to dress up so that we can go."
784,"Sọm ịye suabịtẹ, A ịye oju-birima dọghụm","Where is my cloth, I want to dress up."
785,Ịye suabịtẹ ịye akpa bie imim,Your cloth is in your bag.
786,Ị tesaa mingi-biri dọghụ?,When do you want to bathe?
787,"Misaa misaa, anị A mingi-biri dọghụnye",It's right now I want to bathe.
788,Ị tesaa mingi pa awọma-apụ sịghịrị dọghụ?,When do you want to bathe the children?
789,Inine enekienye saa biri anị A mingi pa n'sịghịrị dọghụnye,It's around 8 o'clock I want to bathe them.
790,Ị tegosi na mingi-birigha saghi dedebie?,Why have you not bathed since morning?
791,"A bite sighiriari saghi dedebie, anịmagoo na A mingi birigha",I was washing clothes since morning that's why have not taken my bathe.
792,Mu mingi biri pịghị oju-birima sị wa nungu pagha,"Go, bathe and dress up and let's go out."
793,Mu awọma-apụ oju-birima sị wa ine mu ḅẹ ḅara,Go and dress up the children so we can go.
794,"Daḅọ ḅẹm ḅẹ, ị ịḅarana mingi pa wa sịghịrị pịghị wa (oju)birima",Father said that you should bathe us yourself and dress us up.
795,Ị ine ịḅarana mingi-biri pịghị iḅụ-birima ḅẹ?,Can you bathe and dress up yourself?
796,"A ine bịgha, A mingi-biri saa gonyegonye, ịḅara iye oḅudu lalagha gosi",I can't because whenever I bathe my hands do not get to my back.
797,Saḅẹ akuo ịpịrị,Bring soap for me.
798,Saḅẹ mingi-biri-warị ofori,There is no soap in the bathroom.
799,Saḅẹ mingi-biri-nga ofori,There is no soap in the bathroom.
800,"A ḅụ-birima dọghụm, A tenga nwabịtẹ nwaa ḅẹ?","I want to dress up, which wrapper should I tie?"
801,"Wa bighi bịtẹ nwaa ḅẹm, pa anị (oju)birima","We will tie George wrapper, dress up with it."
802,Órú éné óbúụ,Monday
803,Kálá fēní íbí éne,Tuesday
804,Ogunu Féní Íbí éne,Wednesday
805,Féní óbú éne,Thursday
806,Féní íbí éne,Friday
807,Kálá ōrú éné,Saturday
808,Órú éné,Sunday
809,Sịbị,Head
810,Sịbị nume,Hair
811,Tọrụ,Eye
812,Biri,Ear
813,Nini,Nose
814,bịbị,Mouth
815,Bịpị,Mouth
816,Aka,Teeth
817,Ḅẹlẹ,Tongue
818,Kọngọ,Neck
819,Ḅara,Hand
820,Ḅụọ,Leg
821,Oju,Body
822,Pulo,Oil
823,Pulo,Blood
825,Nji,Fish
826,Ḅuru,Yam
827,Mbịapka,Maize
828,Ẹlẹlẹndẹ,Orange
829,Fịnị,Firewood
830,Fịnị,Fire
832,Ama,Town
833,Arụ,Boat 
834,Iti,Rain
838,Daa,Father
839,Nyingi,Mother
840,Tamụnọ,God
841,Kurukuru,Black
842,Pịnapịna,White
843,Awụtọrụ,Red
844,Wamịna amangangaḅara ḅịpị ogbosọḅara,The unity of our culture
845,Gbere bu amamienye,The unity of culture
846,Ḅụ pa kịrịkịrị amangangaḅara ḅụ sụa,Embracing cultural diversity
847,Wamịna amangangaḅara ibi,The beauty of our culture
848,Bu bele ma amamienye,The beauty of our culture
849,Daa numboru-owutụwọ,Paternal uncle
850,Nyingi numboru-owutụwọ,Maternal Uncle 
851,Daa numboru-ọrụḅọ,Paternal Aunt
852,Nyingi numboru-ọrụḅọ,maternal aunt
853,Ọgọḅọ,In-law 
854,Dee daa,Father in-law (to husband)
855,Taa daa,Father in-law (to wife)
856,Dee nyingi,Mother in-law (to husband)
857,Taa nyingi,Mother in-law (to wife)
858,Dee numboru-owutụwọ,Brother in-law (to husband)
859,Taa numboru-owutụwọ,Brother in-law (to wife)
860,Dee numboru-ọrụḅọ,Sister in-law (to husband)
861,Taa numboru-ọrụḅọ,Sister in-law (to wife)
862,Numboru-kala-owutụwọ,Younger brother
863,Ọḅụdụ paa owutụwọ,Immediate younger brother
864,Numboru-kala-ọrụḅọ,Younger sister
865,Ọḅụdụ paa ọrụḅọ,Immediate younger sister
866,Numboru-sẹnị-owutụwọ,Senior brother
867,Tọrụkụ-sẹnị-owutụwọ,Immediate senior brother
868,Numboru-sẹnị-ọrụḅọ,Senior sister
869,Tọrụkụ-sẹnị-ọrụḅọ,Immediate senior sister
870,Ịḅụ sẹnịḅọ,My senior
871,Ịḅụ kalatụwọ,My junior
872,Numboru-owutụwọ nudu ye,Nephew
873,Numboru-owutụwọ nudu ḅa,Niece
874,A ,I 
875,A ,Me
876,ịrị,I 
877,ịrị,Me
878,Ịye,My
879,Ịyenye,Mine
880,ị́rị́,You 
881,ị́yé,Your 
882,á,Her
883,á,She
884,Árị ,She
885,Árị ,Her
886,Árịnye,Hers
887,o,He 
888,o,His
889,Ori ,His
890,Ori ,He 
891,ọ́rịnye,His
892,wá,We 
893,wá,Us
894,Wámịnị,Us
895,Wámịnị,We
896,Wámịna,Our
897,Nnị ,They
898,Nnị ,Them
899,n',They
900,Nna,Their
901,Anị,That
902,n',Them
903,Anị,It 
904,Saghi,Arise
905,Saghi,From
906,Saghi,Start
907,Nye saghi,Pick up
908,ẹnwẹẹ́,Take effect (as a curse or invocation)
909,ẹnwẹẹ́,Asthma
910,Fẹ,Market
911,Fẹ,Buy
912,Fie,Utter
913,Fie,Speak (language)
914,Fie,Blow (wind)
915,Iye ẹrẹ ọtẹnye?,What is your name?
916,Ọ Boma,It is Boma.
917,Mie míngí ma wa ḅu-ḅum,This is the water we drink.
918,Ida ḅuarị,My father is drinking it.
919,Inyingi ḅuarị,My mother is drinking it.
920,Anị ibim,It is good.
921,Tamụnọ nẹngịnye ofori,Nothing surpasses God.
922,"I yingi, A igbe findi-nye ma doghuari","My mother, I am looking for the key."
923,I ikasi ogono ani warigha?,Didn't you keep it on the chair?
924,"Iin, A ani warim aninga, kuma A mini ani arigha","Yes, I kept it there, but I cannot find it again."
925,Burusuu nga dighi; ani ine aninga imi bem,Look around the kitchen area; it might be there.
926,"I yingi eeee, ani ari mam ooo","My mother, I have found it"
927,I tenga ani ari bo?,Where did you find it?
928,A ani arim wari torukuu imi ikasi ogono,I saw it on top of the chair in front of the house.
929,"Duma, i miebam. Saa ene ene, iri na wamina yingi na ani doghuari","Thank you, Duma. Since morning, our mother and I have been looking for it."
930,"Tamuno, imiebam si wamini ani ari-bo mam",Thank God that we have seen it.
931,Igodo ma tuwo bara imi?,Who has the padlock? (In whose hands is it?)
932,"Ani i bara imim, yingi","It is in my hands, mother."
933,"Ani akuobo si gberesaa bupo ma kasii, furu-apu wari ma som bigha bara","Bring it so the door can be locked, so thieves don't enter the house."
936,Fụḅara kpo,Forehead
937,Tọrụkụ,Face
939,Tọrụmgbọlụ,Eyeball
940,Tọrụanjị,Eyebrow
941,Tọrụnume,Eyelash
944,Ninibie,Nostril
945,Bịpịmpara,Lips
948,Ḅapo,Chin
949,lughú,Jaw
950,íkú ,Jaw
951,Mgba ,Jaw
952,Mgbanga,Cheeks
954,Pụghọ,Throat
955,Abana,Shoulder
956,Kukubie,Chest
957,Tinibie,Armpit
958,Ndo,Breast
959,Ndo bịpị,Nipple
960,Furo,Stomach
961,Mbu,Navel
962,Ḅara,Arm
964,Ḅaratungu,Elbow
965,Ḅarakọngọ,Wrist
966,Ḅaratumgbọlụ,Finger
967,Mime,Fingernail
968,Ḅaraku,Palm
970,Ḅụọ-ẹlẹghẹ,Thigh
971,Ḅụọsịbị,Knee
972,Ḅụọmgbo,Shin
973,Ḅụọfuro,Calf
974,Ḅụọtungu,Heel
975,Ḅụọkọngọ,Ankle
976,Ḅụọtumgbọlụ,Toe
977,Ḅụọ imime,Toenail
978,Ḅụọ-ọgọnọ,Foot
979,Ḅụọ-kuu,Sole of the foot
980,Kingi,Knife
981,Agidi,Machete
982,Ekwe,Spoon
983,Boli,Bowl
984,Efere,Plate
987,Taba-pulo,Cooking oil
988,Dim-pulo,Palm oil
990,Orosi,Rice
991,Nama,Meat
992,Bara-siri pan,Wash hand basin
993,Bara-si bite,Hand towels
994,Fo,Ashes
995,Anyi-gbolu,Charcoal
996,Afina,Garri
997,Sabe,Soap
998,Ḅẹlẹ,Pot
999,Mingi-so-ḅẹlẹ,Water pot
1000,Mingi-so-ḅẹlẹ,Kettle
1001,Sapo,Sponge
1002,A o nengim,I am older than him.
1003,Ori o nengi ma nye mieari,He is doing something greater than himself.
1004,Ari opu kiri la mam firi-kiri bu,She has reached a senior position at work.
1005,Ori a nengigha,He is not senior to her.
1006,Wangị,Walk
1007,Mangị,Run
1008,Dosi,Jump
1009,Fii,Blow by mouth
1010,Fii,Fly 
1011,Fii,Whistle
1012,Ḅọrọ,Pass by
1013,Pịrị,Give
1014,Duwa,Follow
1015,Arị,See
1016,Arị,Find
1017,Laama,Touch (with hand)
1018,Nimi,Know
1019,Biekoroma,Remember
1020,Bieḅarama,Forget
1021,Sughu,Dig
1022,Dẹrị,Laugh
1023,Owu,Weep
1024,Owu,Cry
1025,Suu,Sing
1026,Sẹghị,Dance
1027,Tii,Play
1028,Balafaa,Fear
1029,Sị,Greet
1030,Bii ,Salute
1031,Owusọ,Fight
1032,Si,Call 
1033,Fịrịma,Send (someone)
1034,Dugho,Say
1035,Ḅẹẹ,Say 
1036,Gbila,Ask (question)
1037,Paragha,Reply
1038,Bii,Ask (request)
1039,Minima,Refuse
1040,Ḅẹlẹma,Love
1041,Ḅẹlẹma,Like
1042,Kuru,Wait
1043,Dọghụ,Look for
1044,Faa,Finish
1045,Faa,Lose (something)
1046,Nyana,have
1047,Kubiri,Gather (things)
1048,Furu,Steal
1049,Akị,Take (one thing)
1050,Sẹlẹaki,Choose
1051,Sẹlẹ,Select
1052,Gbẹẹ,Cover
1053,Gbẹẹ,Pay 
1054,Gbẹẹ,Grind
1055,Kịẹ,Count
1056,Die,Show
1057,Die,Share
1058,Die,Divide
1060,Tẹ,Shoot
1061,Ḅaa,Kill
1062,Kpangịrị,Fry
1063,Fọọ,Roast
1064,Timi,Beat (person)
1065,Timi,Pound (in mortar)
1066,Bima,Extinguish
1067,Bima,Full
1068,Bima,Switch off 
1069,Sara,Pour
1070,Gbii,Throw
1071,Gbii,Sew
1072,Ịkelekele,Turn round 
1073,Ịkelekele,Wander round
1074,Sịbị kpẹẹ,Plait hair
1075,Dọrị,Weave (cloth)
1076,Fangala,Spin (thread)
1077,Ḅụbirima,Dress up
1078,Bịtẹ si,Take off clothes
1079,Sịghịrị,Wash (things)
1080,Nụnụ,Pull
1081,Súmaá,Push
1082,Farị,Beat (drum)
1083,Puu,Break (pot)
1084,Puu,Split
1085,Anyịma,Break (stick)
1086,Tulu,Pierce
1088,Fị́ị́,Eat
1089,Nyẹ́ Fị́ị́,Eat something
1090,A nyẹ́ fị́arị,I am eating something.
1091,Ị́ tẹ fị́arị,What are you eating?
1092,A ḅurú fị́arị,I am eating yam.
1093,A ọrọ́sị fị́arị,I am eating rice.
1094,A akị́dị fị́arị,I am eating beans.
1095,Ị́ nyẹ́-fị́ị́ bẹ̄?,Will you eat?
1096,A nyẹ́-fị́ị́ dọ́ụghā,I don't want to eat.
1097,Fị́ịnyé tarị́arị,I'm hungry .
1098,ḅuru ịtarị́arị,I'm hungry.
1099,ḅuru ịtarị́arị,I'm hungry for yam
1102,Fịnyẹ má opu-ịkasị ọ́gọ́nọ́ ḅụ imim,The food is on the table.
1103,Obiri fị́nyẹ ma opu-ịkasị sughu imim,The dog's food is under the table.
1106,Fịnye ma anị wa laa bẹ?,Will the food be enough for us?
1107,Anị wa laa mam,It is enough for us.
1108,Anị wa laa mam,It has reached us
1109,Akalụ,Moon
1110,Akalụ,Month
1111,Opuịkasị,Table
1112,Ịkasị,Chair
1113,Imo,Sweat
1114,Dighi ma,The rope
1115,Asatụwọ,Youth
1116,Tadọapụ,Ancestors
1117,Fọrụ,Cockroach
1118,Fọrụ,Wind
1119,Nainnain,Anxiety
1120,Nainnain,Worried
1121,Wasama,To spread
1122,Ḅuruḅa,Famine
1123,Kunoma,End
1124,Kunoma,Last
1125,Ḅologha saa ḅụ,In a short while
1126,A bịtẹ sịghịrịarị saghị dedebie anịmago(sị) na A mingibirigha,"I have been washing clothes since morning, therefore I haven't bathed."
1127,A bịtẹ sịghịrịarị saghị dedebie anịị A goo na mịngibirigha nye,It is the clothes I've been washing since morning that caused my not bathing.
1128,"A bite sighiriari dedebie ene, animago, na A mingi birigha",Washing clothes all through the morning is the reason I have not bathed.
1129,"Saghi dedebie ene-ene A bịtẹ sịghịrịarị, anịmago na A mingi birigha","Starting from early morning I've been washing clothes, so I haven't bathed."
1130,"Saghị dedebie A bịtẹ sighiriari go, na A mingi birigha","Because I have been washing clothes since morning, I have not bathed."
1131,"A bịtẹ sighiriari go, saghi dedebie ene, na A go mingi birigha nye",My washing clothes throughout the morning is why I am yet to bathe.
1132,"A bịtẹ sighiriari go saghi dedebie, na A go na mingi birigha nye","Since I was washing clothes since morning, that is why I haven't bathed."
1133,"A bịtẹ sịghịrị fịnịm dedebie, na ogosi mingi birigha nye","I finished washing clothes just now since morning, that is why I haven't bathed."
1134,"Daḅọ ḅẹm ḅẹ, ị ịḅarana mingi pa wa sịghịrị pịghị wamina (oju)birima",Father said that you should bathe us yourself and dress us up.
1136,Ḅo ḅụlọlọ,Come and lie down.
1137,Mịnga ḅụlọlọ,Lie down here.
1138,Mu aninga ḅụlọlọ,Go and lie down there.
1139,Ị mịnga ḅụlọlọ dọghụ?,Do you want to lie down here?
1140,"Ịịn, A mịnga ḅụlọlọ dọghụm","Yes, I want to lie down here."
1141,"Ofori o, A minga ḅụlọlọ dọụgha","No, I don't want to lie down here."
1142,"Bịa ene, o mịnga ḅụlọlọm",Yesterday he lay down here.
1143,Arị ma ani mịnga ḅụlọlọarị ḅọ saghị ene-ene,She has been the one lying down here since.
1144,Ọ mu ḅụlọlọ sị muno,You (plural) should go and lie down and sleep.
1145,Enegbọrụ nnị ibila ma ḅụ ḅụlọlọm,They lay down on the mat all day.
1146,"Ene gonyegonye, nnị ibila ma ḅụ ḅụlọlọ ḅụlọlọm","Everyday, they lie down on the mat."
1147,Ị ibila ma ḅụ ḅụlọlọ bẹ?,Will you lie down on the mat?
1148,Ịịn A ibila ma ḅụ ḅụlọlọ bẹm,Yes I will lie down on the mat.
1149,Wa ibila ma ḅụ ḅụlọlọ bịgha,We will not lie down on the mat.
1150,Ị ibila ma ḅụ ḅụlọlọgha?,Didn't you lie down on the mat?
1151,A ibila ma ḅụ ḅụlọlọgha,I didn't lie down on the mat.
1152,Anịnga ḅụlọlọ ma,Do not lie down there.
1153,Mini anịnga ḅụlọlọ ma,Do not lie down there again.
1154,Obiri ma munoarị,The dog is sleeping.
1155,Oḅori ma ḅụlọlọarị,The goat is lying down.
1156,Pọọsị ma na anị awọ na munoarị,The cat and its kitten are sleeping.
1157,Nnị muno dọghụm nna warịbie,They want to sleep in their room.
1158,Ị tesaa muno bẹ,When are you going to sleep?
1159,A esenie enekịẹnye ḅụ mu muno bẹm,I am going to sleep by 9 o'clock.
1160,Ị tẹnga muno bẹ?,Where will you sleep?
1161,A ịwarịbie muno bẹm,I will sleep in your house.
1162,Ị tego sị saa mamgba muno muno?,Why do you sleep all the time?
1163,Ị ḅu kụrọagh anị A go saa mamgba muno muno nye,"I'm not well, that's why I'm sleeping all the time."
1164,Muno na ịtọrụ sọgha,I'm not feeling sleepy yet
1165,A ḅụlọlọ saa muno ịtọrụ fafaam,Whenever I lie down sleep disappears from my eyes.
1166,Á tẹnga muno bịa-ene dii?,Where did she sleep last night?
1167,Á warị bie munom bịa-ene dii,She slept in the house last night.
1168,Daa ịḅoma,Welcome father.
1169,"Ịịn ịye awọ, ọmịẹḅam","Yes my children, thank you."
1170,Ọtọrọ fịnị?,How are you?
1171,Wamịnị ibim,We are fine.
1172,Ọ nyẹfị ma?,Have you people eaten?
1173,"Ịịn, wa nyefị mam",Yes we have eaten.
1174,Ọ́ tẹ fị?,What did you eat?
1175,Wa nụnụma na fụlọ fịm,We ate garri and soup.
1176,Tụwọ anị tẹlẹma ọpịrị?,Who prepared it for you?
1177,Nyingiḅọ tẹlẹma wa pịrịm,Mother prepared it for us.
1178,"Susi ee, oboma",Worship and praise him.
1179,Oboma nyanaḅọ,He is the Lord of praise.
1180,A fẹghẹ muarị,I am going to the market.
1181,Ị te fẹ dọghụ?,What do you want to buy?
1182,A fụlọ sọọ nye fẹ dọghụm,I want to buy items for cooking soup.
1183,Ị tẹnga fẹghẹ mu n'fẹ dọghụ?,Which market do you want to go to?
1184,A Okoloma fẹghẹ mu n'fẹ dọghụm,I want to go and buy them from Bonny main market.
1185,A nama gbogbo fẹghẹ mu n'fẹ bẹm,I am going to buy them from slaughter market.
1186,Je fẹghẹ mu sị mu n'fẹ,Go and buy them from another market.
1187,Ị tẹ deriari?,What are you selling?
1188,A samuno nji na ḅuru na deriari,I am selling dry fish and yam.
1189,Ị tọrọpa nji ma na ḅuru ma na dẹrịari?,How are you selling the fish and the yam?
1190,N'ndẹẹ́?,How much are they?
1191,Sọm n'laa ḅara?,How much are they worth?
1192,"Nji ma Naịra sọnọ-a-ndẹ, kuma ḅuru ma Naịra mmẹ-a-ndẹ oyi-a-si findi","The fish is ₦2k, while the yam is ₦1k."
1193,"Ah, n'nyela ḅaam","Ah, they are too expensive."
1194,Nni opuma nye laam,"Ah, they are too expensive."
1195,"Ḅọrọbẹ a ₦1500 pa ị'gbẹẹ nji ma ḅụ, pịị ₦700 pa i'gbẹẹ ḅuru ma bu","What if I pay you ₦1500 for the fish, and ₦700 for the yam."
1196,"Ofori o, anị laa (kara) bịgha, nye nyelaa ḅaam","No oh, it will not be enough, things are very expensive."
1197,"A ine nji ma pa ịpịrị ḅẹm ₦1,800, pịghị ḅuru ma pa ịpịrị ₦800",I can give you the fish for ₦1800 and the yam for ₦800.
1198,"Bẹrẹ ofori, nnị pa akpa ma bie sụa ọkọm","Okay, put them in the bag for me."
1199,A n'sụa ịpịrị ḅẹm,I will put them for you.
1200,"Paịsịsị, iye acct no sịị ọkọm",Please call your account number for me.
1201,A igbi fịrịma ị'pịrị mam,I have sent money to you.
1202,Ị nyingi tọrọfịnị?,How is your mother?
1203,Ịdaa tọrọfịnị?,How is your father?
1204,Ịwarịapụ tọrọfịnị?,How is your family?
1205,Arị bii ịpịrị,Greet her for me.
1206,Arị bii ọkọm,Greet her for me.
1207,Ori bii ịpịrị,Greet him for me.
1208,Ori bii ọkọm,Greet him for me.
1209,Ịwarịapụ bii ọkọm,Greet your family for me.
1210,"Bẹrẹ ofori, A n'sụa ịpịrị ḅẹm","Ok, I will put them for you."
1213,A iye igbi fịrịma ị'pịrị mam,"I have sent you, your money."
1214,Anị owutụwọ ma,That man.
1215,Anịị owutụwọ ma?,Is that the man?
1216,Anịị owutụwọ maa,That is the man.
1217,Paịsịsị ḅarasụa ịpịrị wa nwabite ma ḅụ mingi ma imima sii,Please join me to squeeze out water from this wrapper.
1218,"Ị munga munga, ḅuru tumuni tarịarị, tẹgosi?","Anywhere you go, people are hungry. Why?"
1219,"Ị dughonye gonye gonye anị Ịkpụrụma bẹm, anị goo ịbịpị gbẹẹ","Anything you say will be used against you, so better keep quiet."
1220,"Bebobebo kinimamgbagha, ọ ḅala ma","Anybody is not everybody, don't blame him."
1221,"ọmịna bie, nnị ine gbereḅọ sẹlẹakị bem",Anyone of you people can be chosen.
1222,Isiapụ ma na kpọrọfịnị opu ịkasị ma ọgọnọ,Sit with others on the table.
1223,Mie ịkasị ma ibi ḅaam,This chair is better.
1224,"Sotọrụ ma ọfịrịm, A imo suarị","The weather is hot, I am sweating."
1225,Ọ yọ ma fiema ma mịnga,I don't need noise here.
1226,Tumini ma furuapụ ma sịbị silem,The people hoot at the criminal.
1227,Mie sundu ma,This broom.
1228,Mie su ma,This cap.
1229,Mie nsị ma,This stick.
1230,Mie sii ma,This tree.
1231,Mie anyinya ma,This leaf.
1232,Mie simgbọlụ ma,This fruit.
1233,Mie mingi ma,This water.
1234,Mie sotọrụ ma,This weather.
1235,Mie Igbe ma,This box.
1236,Mie siḅe ma,This well.
1237,"Mie bịtẹ ma olom mam, paịsịsị anị pa ḅumaa","This cloth is old, please discard it."
1238,Oḅori ma fimaa sị anị wangịma ḅọrọ,Untie the goat to move about.
1239,"Ḅuru ma Kpọọ gboloma, nnị ine anị dighi ḅara",Tie the yams together so that they can be carried.
1240,A ojukụnụmanye ma Kụnụ ḅẹlẹ mam,I love the fragrance of this perfume.
1241,"Ị ịpụnụma sẹmaarị, paịsịsị dasẹma","You are pressing me tight, please stop."
1242,"Wamina Toru findi, ama egere ibi gboloma nye ḅụ",Enlighten us more about the importance of native language.
1243,"Ị tọrụ pụgha, A ine goo igbi ma arị ḅịghanye",My eyes are not blind that I cannot see the money.
1244,Ibu serere ma,Don't lean on me.
1245,"Ḅọghụ sị akị, anị wa kọọ tii̇ wamịna ịrụ saa",Hide and take was the game we played when we were young.
1246,"Igilakọnapụ, Kịnị inoma inomagha",Honorables don't cheat.
